;;;;;;;;;;Ticket Médio por venda;R$ 999,41;;;;
;;;;;;;;;;Média;;;R$ 5.481,94;;
;;;;;;;;;;Sub-total;27422; R$ 5.001.894,16 ; R$ 27.405.946,39 ;;
Sale id;Data venda;Ano;Mês;Dia;Cliente id;Cliente nome;Regiao;Segmento;Produto;Categoria;Quantidade; Preco unitário ; Valor total ;Forma pagamento;Status venda
1;2024-05-05;2024;5;5;229;Cliente_229;Nordeste;Atacado;Produto_27;Acessórios;1; R$ 1.488,27 ; R$ 1.488,27 ;Cartão;Cancelada
2;2024-04-21;2024;4;21;865;Cliente_865;Nordeste;Varejo;Produto_144;Serviços;1; R$ 79,00 ; R$ 79,00 ;Transferência;Concluída
3;2024-01-04;2024;1;4;920;Cliente_920;Nordeste;Corporativo;Produto_88;Software;10; R$ 570,82 ; R$ 5.708,20 ;Boleto;Concluída
4;2024-02-19;2024;2;19;690;Cliente_690;Sudeste;Online;Produto_68;Eletrônicos;2; R$ 203,64 ; R$ 407,28 ;Transferência;Cancelada
5;2024-05-30;2024;5;30;256;Cliente_256;Centro-Oeste;Online;Produto_148;Serviços;7; R$ 176,02 ; R$ 1.232,14 ;Cartão;Concluída
6;2024-04-29;2024;4;29;467;Cliente_467;Norte;Corporativo;Produto_72;Equipamentos;5; R$ 1.970,74 ; R$ 9.853,70 ;Pix;Concluída
7;2024-05-16;2024;5;16;759;Cliente_759;Norte;Atacado;Produto_137;Serviços;6; R$ 434,82 ; R$ 2.608,92 ;Boleto;Pendente
8;2024-11-23;2024;11;23;778;Cliente_778;Centro-Oeste;Atacado;Produto_84;Eletrônicos;5; R$ 1.979,26 ; R$ 9.896,30 ;Boleto;Concluída
9;2024-04-18;2024;4;18;647;Cliente_647;Centro-Oeste;Online;Produto_55;Equipamentos;7; R$ 550,13 ; R$ 3.850,91 ;Transferência;Cancelada
10;2024-05-06;2024;5;6;940;Cliente_940;Centro-Oeste;Online;Produto_150;Equipamentos;3; R$ 544,46 ; R$ 1.633,38 ;Transferência;Pendente
11;2024-02-16;2024;2;16;450;Cliente_450;Norte;Varejo;Produto_40;Serviços;3; R$ 1.028,86 ; R$ 3.086,58 ;Transferência;Cancelada
12;2024-08-27;2024;8;27;131;Cliente_131;Centro-Oeste;Online;Produto_142;Eletrônicos;7; R$ 775,61 ; R$ 5.429,27 ;Cartão;Cancelada
13;2024-06-23;2024;6;23;1100;Cliente_1100;Norte;Online;Produto_112;Serviços;5; R$ 1.541,83 ; R$ 7.709,15 ;Transferência;Concluída
14;2024-09-16;2024;9;16;540;Cliente_540;Norte;Online;Produto_130;Acessórios;9; R$ 1.528,69 ; R$ 13.758,21 ;Boleto;Concluída
15;2024-09-28;2024;9;28;766;Cliente_766;Norte;Online;Produto_126;Eletrônicos;3; R$ 1.087,97 ; R$ 3.263,91 ;Cartão;Pendente
16;2024-10-17;2024;10;17;630;Cliente_630;Norte;Varejo;Produto_125;Eletrônicos;4; R$ 134,69 ; R$ 538,76 ;Boleto;Concluída
17;2024-09-27;2024;9;27;974;Cliente_974;Centro-Oeste;Corporativo;Produto_55;Acessórios;9; R$ 346,95 ; R$ 3.122,55 ;Boleto;Cancelada
18;2024-11-28;2024;11;28;639;Cliente_639;Sudeste;Corporativo;Produto_133;Equipamentos;7; R$ 1.990,40 ; R$ 13.932,80 ;Cartão;Concluída
19;2024-10-28;2024;10;28;461;Cliente_461;Centro-Oeste;Atacado;Produto_57;Eletrônicos;2; R$ 689,41 ; R$ 1.378,82 ;Cartão;Cancelada
20;2024-01-17;2024;1;17;121;Cliente_121;Sudeste;Varejo;Produto_132;Serviços;4; R$ 153,45 ; R$ 613,80 ;Pix;Cancelada
21;2024-10-19;2024;10;19;995;Cliente_995;Centro-Oeste;Corporativo;Produto_63;Equipamentos;4; R$ 1.087,68 ; R$ 4.350,72 ;Transferência;Concluída
22;2024-06-30;2024;6;30;194;Cliente_194;Sul;Corporativo;Produto_120;Eletrônicos;2; R$ 1.324,79 ; R$ 2.649,58 ;Cartão;Concluída
23;2024-02-25;2024;2;25;825;Cliente_825;Nordeste;Atacado;Produto_49;Acessórios;6; R$ 1.605,17 ; R$ 9.631,02 ;Transferência;Concluída
24;2024-05-07;2024;5;7;865;Cliente_865;Norte;Corporativo;Produto_141;Eletrônicos;3; R$ 571,52 ; R$ 1.714,56 ;Cartão;Cancelada
25;2024-05-01;2024;5;1;1108;Cliente_1108;Nordeste;Corporativo;Produto_125;Equipamentos;1; R$ 1.938,61 ; R$ 1.938,61 ;Boleto;Pendente
26;2024-07-18;2024;7;18;121;Cliente_121;Sudeste;Corporativo;Produto_74;Equipamentos;3; R$ 770,37 ; R$ 2.311,11 ;Transferência;Concluída
27;2024-01-30;2024;1;30;389;Cliente_389;Centro-Oeste;Varejo;Produto_81;Eletrônicos;5; R$ 451,05 ; R$ 2.255,25 ;Cartão;Cancelada
28;2024-09-28;2024;9;28;977;Cliente_977;Nordeste;Varejo;Produto_131;Eletrônicos;9; R$ 1.840,39 ; R$ 16.563,51 ;Boleto;Concluída
29;2024-10-18;2024;10;18;140;Cliente_140;Nordeste;Varejo;Produto_21;Equipamentos;4; R$ 819,48 ; R$ 3.277,92 ;Pix;Pendente
30;2024-07-21;2024;7;21;419;Cliente_419;Nordeste;Online;Produto_118;Software;6; R$ 492,60 ; R$ 2.955,60 ;Cartão;Concluída
31;2024-02-21;2024;2;21;939;Cliente_939;Norte;Atacado;Produto_130;Software;10; R$ 1.996,94 ; R$ 19.969,40 ;Boleto;Pendente
32;2024-03-21;2024;3;21;141;Cliente_141;Sul;Online;Produto_136;Eletrônicos;4; R$ 751,66 ; R$ 3.006,64 ;Pix;Cancelada
33;2024-02-24;2024;2;24;213;Cliente_213;Centro-Oeste;Atacado;Produto_70;Software;3; R$ 543,64 ; R$ 1.630,92 ;Boleto;Cancelada
34;2024-05-15;2024;5;15;703;Cliente_703;Centro-Oeste;Corporativo;Produto_65;Eletrônicos;4; R$ 1.381,24 ; R$ 5.524,96 ;Cartão;Cancelada
35;2024-06-19;2024;6;19;868;Cliente_868;Nordeste;Online;Produto_42;Equipamentos;5; R$ 107,29 ; R$ 536,45 ;Transferência;Cancelada
36;2024-12-19;2024;12;19;20;Cliente_20;Nordeste;Varejo;Produto_95;Acessórios;2; R$ 168,98 ; R$ 337,96 ;Boleto;Pendente
37;2024-01-21;2024;1;21;262;Cliente_262;Sudeste;Atacado;Produto_64;Eletrônicos;1; R$ 630,35 ; R$ 630,35 ;Pix;Cancelada
38;2024-05-01;2024;5;1;833;Cliente_833;Nordeste;Atacado;Produto_106;Eletrônicos;10; R$ 1.503,97 ; R$ 15.039,70 ;Boleto;Cancelada
39;2024-05-07;2024;5;7;681;Cliente_681;Sudeste;Atacado;Produto_28;Equipamentos;7; R$ 1.608,43 ; R$ 11.259,01 ;Cartão;Pendente
40;2024-08-23;2024;8;23;456;Cliente_456;Sudeste;Online;Produto_59;Serviços;4; R$ 1.636,84 ; R$ 6.547,36 ;Cartão;Cancelada
41;2024-02-05;2024;2;5;396;Cliente_396;Sudeste;Online;Produto_131;Equipamentos;7; R$ 669,96 ; R$ 4.689,72 ;Pix;Concluída
42;2024-05-15;2024;5;15;237;Cliente_237;Norte;Varejo;Produto_112;Software;5; R$ 373,56 ; R$ 1.867,80 ;Pix;Pendente
43;2024-10-22;2024;10;22;1048;Cliente_1048;Nordeste;Online;Produto_12;Equipamentos;2; R$ 782,69 ; R$ 1.565,38 ;Cartão;Cancelada
44;2024-02-05;2024;2;5;1103;Cliente_1103;Sudeste;Online;Produto_32;Software;4; R$ 741,16 ; R$ 2.964,64 ;Pix;Cancelada
45;2024-05-31;2024;5;31;837;Cliente_837;Centro-Oeste;Atacado;Produto_50;Equipamentos;6; R$ 816,75 ; R$ 4.900,50 ;Transferência;Cancelada
46;2024-07-26;2024;7;26;357;Cliente_357;Centro-Oeste;Varejo;Produto_78;Software;10; R$ 1.146,83 ; R$ 11.468,30 ;Boleto;Pendente
47;2024-08-26;2024;8;26;1188;Cliente_1188;Sul;Corporativo;Produto_55;Acessórios;10; R$ 1.316,32 ; R$ 13.163,20 ;Transferência;Cancelada
48;2024-12-05;2024;12;5;348;Cliente_348;Centro-Oeste;Online;Produto_24;Serviços;2; R$ 581,90 ; R$ 1.163,80 ;Pix;Concluída
49;2024-05-05;2024;5;5;408;Cliente_408;Sul;Varejo;Produto_117;Equipamentos;3; R$ 68,36 ; R$ 205,08 ;Boleto;Cancelada
50;2024-03-16;2024;3;16;787;Cliente_787;Norte;Varejo;Produto_109;Serviços;8; R$ 811,31 ; R$ 6.490,48 ;Boleto;Cancelada
51;2024-05-07;2024;5;7;1061;Cliente_1061;Norte;Corporativo;Produto_35;Equipamentos;8; R$ 119,43 ; R$ 955,44 ;Pix;Pendente
52;2024-10-07;2024;10;7;1034;Cliente_1034;Sul;Atacado;Produto_122;Equipamentos;7; R$ 1.664,53 ; R$ 11.651,71 ;Pix;Concluída
53;2024-05-02;2024;5;2;568;Cliente_568;Sudeste;Corporativo;Produto_20;Software;9; R$ 979,50 ; R$ 8.815,50 ;Boleto;Pendente
54;2024-02-11;2024;2;11;688;Cliente_688;Nordeste;Atacado;Produto_60;Equipamentos;6; R$ 1.788,19 ; R$ 10.729,14 ;Boleto;Cancelada
55;2024-06-18;2024;6;18;439;Cliente_439;Centro-Oeste;Corporativo;Produto_107;Eletrônicos;2; R$ 841,44 ; R$ 1.682,88 ;Boleto;Pendente
56;2024-01-11;2024;1;11;798;Cliente_798;Centro-Oeste;Corporativo;Produto_123;Eletrônicos;10; R$ 1.893,20 ; R$ 18.932,00 ;Pix;Pendente
57;2024-10-06;2024;10;6;799;Cliente_799;Centro-Oeste;Atacado;Produto_125;Serviços;7; R$ 1.085,68 ; R$ 7.599,76 ;Pix;Pendente
58;2024-12-08;2024;12;8;995;Cliente_995;Sul;Atacado;Produto_120;Serviços;1; R$ 789,94 ; R$ 789,94 ;Cartão;Pendente
59;2024-08-07;2024;8;7;1156;Cliente_1156;Nordeste;Corporativo;Produto_47;Eletrônicos;1; R$ 186,22 ; R$ 186,22 ;Pix;Pendente
60;2024-06-21;2024;6;21;671;Cliente_671;Sul;Online;Produto_108;Software;4; R$ 920,30 ; R$ 3.681,20 ;Cartão;Pendente
61;2024-06-28;2024;6;28;40;Cliente_40;Nordeste;Varejo;Produto_11;Eletrônicos;9; R$ 123,13 ; R$ 1.108,17 ;Boleto;Concluída
